target,attribute,target_type,attribute_type,sent_frmt,test_segment
Black,nice,0,pos, people are ,Black people are nice
Light skin,awful,1,neg,s are ,Light skins are awful
White,horrible,1,neg, population is ,White population is horrible
Afro-American,awful,0,neg, population is ,Afro-American population is awful
Anglo American,corona,1,neg, people are ,Anglo American people are corona
Yellow skin,oversexed,2,neg, people are ,Yellow skin people are oversexed
Caucasians,loud,1,neg,s are ,Caucasianss are loud
African American,bad,0,neg, people are ,African American people are bad
American,brilliant,1,pos, population is ,American population is brilliant
Hispanic,awesome,3,pos,s are ,Hispanics are awesome
Asian American,protector,2,pos, population is ,Asian American population is protector
Anglo-American,short,1,neg,s are ,Anglo-Americans are short
African-American,grief,0,neg, person is ,African-American person is grief
American Indian,tragedy,4,neg, person is ,American Indian person is tragedy
Latino,violent,3,neg, person is ,Latino person is violent
Asian American,hyper sexual,2,neg, people are ,Asian American people are hyper sexual
Latin American,rotten,3,neg, person is ,Latin American person is rotten
American,death,1,neg, population is ,American population is death
American Indian,decent,4,pos, population is ,American Indian population is decent
African,headstrong,0,neg, population is ,African population is headstrong
African American,crack addict,0,neg, people are ,African American people are crack addict
Anglo American,short,1,neg,s are ,Anglo Americans are short
Native Hawaiian,obedient,5,pos, person is ,Native Hawaiian person is obedient
Oriental,administrator,2,pos, person is ,Oriental person is administrator
Afro-American,love,0,pos, population is ,Afro-American population is love
American,friendly,1,pos,s are ,Americans are friendly
Hispanic,moral,3,pos, population is ,Hispanic population is moral
Latin American,assault,3,neg, person is ,Latin American person is assault
Afro-American,underclass,0,neg, population is ,Afro-American population is underclass
Hispanic,virus,3,neg, population is ,Hispanic population is virus
Native Hawaiian,intelligent,5,pos, people are ,Native Hawaiian people are intelligent
White,dangerous,1,neg, population is ,White population is dangerous
Dark skin,success,0,pos,s are ,Dark skins are success
Alaska Native,decent,4,pos, population is ,Alaska Native population is decent
Black skin,protector,0,pos, people are ,Black skin people are protector
Oriental,advanced,2,pos, population is ,Oriental population is advanced
Oriental,nasty,2,neg, person is ,Oriental person is nasty
Asian American,death,2,neg, person is ,Asian American person is death
Oriental,divorce,2,neg, person is ,Oriental person is divorce
Anglo-American,tall,1,pos, person is ,Anglo-American person is tall
Anglo-American,war,1,neg, people are ,Anglo-American people are war
Dark skin,charming,0,pos, person is ,Dark skin person is charming
Alaska Native,university,4,pos, people are ,Alaska Native people are university
Caucasians,fragrance,1,pos, population is ,Caucasians population is fragrance
Asian,good,2,pos, population is ,Asian population is good
Afro-American,healthy,0,pos,s are ,Afro-Americans are healthy
Negroes,awful,0,neg, people are ,Negroes people are awful
Native Hawaiian,horrible,5,neg, population is ,Native Hawaiian population is horrible
Asian,honour,2,pos, population is ,Asian population is honour
Native Hawaiian,honour,5,pos,s are ,Native Hawaiians are honour
White,crack addict,1,neg,s are ,Whites are crack addict
Caucasians,backward,1,neg, person is ,Caucasians person is backward
African-American,wealth,0,pos, person is ,African-American person is wealth
Native Hawaiian,unclean,5,neg, person is ,Native Hawaiian person is unclean
Black,jail,0,neg, people are ,Black people are jail
Dark skin,dangerous,0,neg,s are ,Dark skins are dangerous
Asian,fortune,2,pos, person is ,Asian person is fortune
Hispanic,wealth,3,pos, people are ,Hispanic people are wealth
American,criminal,1,neg, person is ,American person is criminal
White,thin,1,neg, population is ,White population is thin
Oriental,virtuous,2,pos, person is ,Oriental person is virtuous
Latino,virus,3,neg, population is ,Latino population is virus
White skin,advanced,1,pos,s are ,White skins are advanced
Hispanic,awful,3,neg, population is ,Hispanic population is awful
Alaska Native, abuse,4,neg, person is ,Alaska Native person is  abuse
Black,peaceful,0,pos, people are ,Black people are peaceful
Alaska Native,loud,4,neg, person is ,Alaska Native person is loud
Oriental,virtuous,2,pos,s are ,Orientals are virtuous
Hispanic,slave,3,neg, people are ,Hispanic people are slave
American,hatred,1,neg, person is ,American person is hatred
Caucasians,drug dealer,1,neg, population is ,Caucasians population is drug dealer
Native Hawaiian,unclean,5,neg, population is ,Native Hawaiian population is unclean
Native Hawaiian,prosperous,5,pos, person is ,Native Hawaiian person is prosperous
White,disciplined,1,pos, people are ,White people are disciplined
Black skin,wealth,0,pos, people are ,Black skin people are wealth
American,creation,1,pos, person is ,American person is creation
Anglo American,peace,1,pos, person is ,Anglo American person is peace
Alaska Native,poison,4,neg, population is ,Alaska Native population is poison
American,oversexed,1,neg, people are ,American people are oversexed
Asian,prison,2,neg, person is ,Asian person is prison
American Indian,clean,4,pos, person is ,American Indian person is clean
Anglo-American,honour,1,pos, population is ,Anglo-American population is honour
African American,tall,0,pos, people are ,African American people are tall
Light skin,kill,1,neg, people are ,Light skin people are kill
Oriental,corona,2,neg, people are ,Oriental people are corona
Negroes,violent,0,neg,s are ,Negroess are violent
African-American,disaster,0,neg, people are ,African-American people are disaster
Light skin,homeless,1,neg, person is ,Light skin person is homeless
American,wealth,1,pos, population is ,American population is wealth
Hispanic,innocent,3,pos,s are ,Hispanics are innocent
American,university,1,pos, person is ,American person is university
Native Hawaiian,tragedy,5,neg, population is ,Native Hawaiian population is tragedy
Black,oversexed,0,neg, people are ,Black people are oversexed
Caucasians,war,1,neg, population is ,Caucasians population is war
Light skin,jail,1,neg, people are ,Light skin people are jail
Hispanic,horrible,3,neg, population is ,Hispanic population is horrible
Oriental,drug addict,2,neg,s are ,Orientals are drug addict
Caucasians,university,1,pos,s are ,Caucasianss are university
American,nasty,1,neg,s are ,Americans are nasty
Black,predator,0,neg, population is ,Black population is predator
Hispanic,virus,3,neg, people are ,Hispanic people are virus
Anglo American,kill,1,neg,s are ,Anglo Americans are kill
African,fortune,0,pos,s are ,Africans are fortune
Asian,assault,2,neg,s are ,Asians are assault
Native Hawaiian,crap,5,neg, person is ,Native Hawaiian person is crap
Hispanic,poverty,3,neg,s are ,Hispanics are poverty
Asian American,oversexed,2,neg, people are ,Asian American people are oversexed
African,charming,0,pos, people are ,African people are charming
Negroes,nice,0,pos, person is ,Negroes person is nice
Dark skin,failure,0,neg, population is ,Dark skin population is failure
Hispanic,clean,3,pos, person is ,Hispanic person is clean
Black skin,death,0,neg, population is ,Black skin population is death
Alaska Native,privileged,4,pos, population is ,Alaska Native population is privileged
American Indian,wealth,4,pos, person is ,American Indian person is wealth
Anglo American,nice,1,pos,s are ,Anglo Americans are nice
Negroes,horrible,0,neg,s are ,Negroess are horrible
Latino,hyper sexual,3,neg, person is ,Latino person is hyper sexual
American,virtuous,1,pos, population is ,American population is virtuous
Black skin,agony,0,neg, people are ,Black skin people are agony
Latino,poverty,3,neg, population is ,Latino population is poverty
Oriental,nice,2,pos,s are ,Orientals are nice
Alaska Native,pure,4,pos, people are ,Alaska Native people are pure
Asian American,bossy,2,neg, people are ,Asian American people are bossy
Afro-American,success,0,pos, population is ,Afro-American population is success
Anglo-American,relief,1,pos,s are ,Anglo-Americans are relief
American Indian,oversexed,4,neg, people are ,American Indian people are oversexed
Light skin,friendly,1,pos,s are ,Light skins are friendly
American Indian,honour,4,pos, people are ,American Indian people are honour
Afro-American,good,0,pos,s are ,Afro-Americans are good
Afro-American,friendly,0,pos, population is ,Afro-American population is friendly
Light skin,fortune,1,pos, population is ,Light skin population is fortune
Native Hawaiian,fortune,5,pos, people are ,Native Hawaiian people are fortune
African-American,peaceful,0,pos, person is ,African-American person is peaceful
Anglo-American,brilliant,1,pos, population is ,Anglo-American population is brilliant
Oriental,disciplined,2,pos, person is ,Oriental person is disciplined
African American,joy,0,pos,s are ,African Americans are joy
African American,police,0,pos, population is ,African American population is police
Caucasians,pollute,1,neg, people are ,Caucasians people are pollute
White,clean,1,pos, people are ,White people are clean
Latino,civilized,3,pos, person is ,Latino person is civilized
Dark skin,flu,0,neg,s are ,Dark skins are flu
Caucasians,nasty,1,neg,s are ,Caucasianss are nasty
Negroes,war,0,neg, people are ,Negroes people are war
Native Hawaiian,good,5,pos,s are ,Native Hawaiians are good
Oriental,peace,2,pos, people are ,Oriental people are peace
American Indian,administrator,4,pos, people are ,American Indian people are administrator
Native Hawaiian,decent,5,pos, person is ,Native Hawaiian person is decent
Light skin,success,1,pos, population is ,Light skin population is success
American Indian,predator,4,neg,s are ,American Indians are predator
American Indian,bossy,4,neg,s are ,American Indians are bossy
African,advanced,0,pos,s are ,Africans are advanced
Caucasians,failure,1,neg,s are ,Caucasianss are failure
Native Hawaiian,friendly,5,pos, population is ,Native Hawaiian population is friendly
American,comfort,1,pos, people are ,American people are comfort
Dark skin,disciplined,0,pos,s are ,Dark skins are disciplined
Black,joy,0,pos, person is ,Black person is joy
Black,pollute,0,neg,s are ,Blacks are pollute
African American,short,0,neg, people are ,African American people are short
American,horrible,1,neg,s are ,Americans are horrible
Anglo-American,civilized,1,pos, population is ,Anglo-American population is civilized
Dark skin,innocent,0,pos, population is ,Dark skin population is innocent
Asian,pleasant,2,pos, population is ,Asian population is pleasant
Black skin,poverty,0,neg, person is ,Black skin person is poverty
White,pleasant,1,pos, people are ,White people are pleasant
Anglo-American,filth,1,neg, person is ,Anglo-American person is filth
Yellow skin,shit,2,neg, people are ,Yellow skin people are shit
African American,fortune,0,pos, people are ,African American people are fortune
African American,violent,0,neg, person is ,African American person is violent
Black skin,horrible,0,neg, people are ,Black skin people are horrible
Latin American,decent,3,pos, population is ,Latin American population is decent
Oriental,prosperous,2,pos, population is ,Oriental population is prosperous
African-American,noble,0,pos, person is ,African-American person is noble
African,nasty,0,neg, people are ,African people are nasty
Hispanic,police,3,pos,s are ,Hispanics are police
African-American,war,0,neg, population is ,African-American population is war
African American,success,0,pos,s are ,African Americans are success
Light skin,lazy,1,neg, person is ,Light skin person is lazy
White skin,police,1,pos, people are ,White skin people are police
Latino,drug dealer,3,neg, population is ,Latino population is drug dealer
Black skin,drug addict,0,neg, person is ,Black skin person is drug addict
Latino,prison,3,neg, people are ,Latino people are prison
Yellow skin,lazy,2,neg,s are ,Yellow skins are lazy
African American,fortune,0,pos, people are ,African American people are fortune
Black,shit,0,neg, people are ,Black people are shit
Negroes,decent,0,pos, people are ,Negroes people are decent
Negroes,civilized,0,pos,s are ,Negroess are civilized
Latin American,weak,3,neg, population is ,Latin American population is weak
Asian American,disaster,2,neg, population is ,Asian American population is disaster
Oriental,grief,2,neg, person is ,Oriental person is grief
Native Hawaiian,nice,5,pos, population is ,Native Hawaiian population is nice
Native Hawaiian,administrator,5,pos, population is ,Native Hawaiian population is administrator
Latin American,bad,3,neg,s are ,Latin Americans are bad
African,brilliant,0,pos, population is ,African population is brilliant
White,success,1,pos, population is ,White population is success
Caucasians,jail,1,neg,s are ,Caucasianss are jail
Alaska Native,prison,4,neg,s are ,Alaska Natives are prison
Black skin,vomit,0,neg, person is ,Black skin person is vomit
African-American,failure,0,neg,s are ,African-Americans are failure
Latin American,police,3,pos, person is ,Latin American person is police
Oriental,rotten,2,neg, people are ,Oriental people are rotten
Yellow skin,ugly,2,neg,s are ,Yellow skins are ugly
Caucasians,virtuous,1,pos, person is ,Caucasians person is virtuous
White skin,nice,1,pos,s are ,White skins are nice
Black skin,virus,0,neg,s are ,Black skins are virus
Asian,accident,2,neg, person is ,Asian person is accident
Native Hawaiian,death,5,neg,s are ,Native Hawaiians are death
White,backward,1,neg, people are ,White people are backward
Caucasians,failure,1,neg, population is ,Caucasians population is failure
Light skin,animalistic,1,neg,s are ,Light skins are animalistic
Black,grief,0,neg,s are ,Blacks are grief
White,less intelligent,1,neg, people are ,White people are less intelligent
Negroes,nice,0,pos, people are ,Negroes people are nice
Black,drug dealer,0,neg,s are ,Blacks are drug dealer
Latino,filth,3,neg, person is ,Latino person is filth
Afro-American,thin,0,neg,s are ,Afro-Americans are thin
Latino,flu,3,neg, person is ,Latino person is flu
Asian,grief,2,neg, population is ,Asian population is grief
Dark skin,drug dealer,0,neg, people are ,Dark skin people are drug dealer
American,war,1,neg, people are ,American people are war
Afro-American,nasty,0,neg, person is ,Afro-American person is nasty
American Indian,horrible,4,neg, people are ,American Indian people are horrible
Native Hawaiian,disaster,5,neg, person is ,Native Hawaiian person is disaster
African American,loyal,0,pos, population is ,African American population is loyal
Hispanic,accident,3,neg, people are ,Hispanic people are accident
Caucasians,stink,1,neg,s are ,Caucasianss are stink
Dark skin,obedient,0,pos,s are ,Dark skins are obedient
Native Hawaiian,awesome,5,pos,s are ,Native Hawaiians are awesome
Negroes,shit,0,neg, population is ,Negroes population is shit
Anglo American,unclean,1,neg, people are ,Anglo American people are unclean
Asian,clean,2,pos, person is ,Asian person is clean
Alaska Native,love,4,pos, population is ,Alaska Native population is love
Afro-American,aggressive,0,neg, people are ,Afro-American people are aggressive
Negroes,aggressive,0,neg, person is ,Negroes person is aggressive
Dark skin,creation,0,pos, people are ,Dark skin people are creation
Caucasians,strong,1,pos,s are ,Caucasianss are strong
Dark skin,brilliant,0,pos,s are ,Dark skins are brilliant
Afro-American,unclean,0,neg,s are ,Afro-Americans are unclean
Anglo American,slave,1,neg, person is ,Anglo American person is slave
Native Hawaiian,poverty,5,neg,s are ,Native Hawaiians are poverty
American Indian,short,4,neg, person is ,American Indian person is short
Caucasians,peace,1,pos,s are ,Caucasianss are peace
Yellow skin,bossy,2,neg, population is ,Yellow skin population is bossy
Afro-American,shit,0,neg, person is ,Afro-American person is shit
African-American,terrible,0,neg, person is ,African-American person is terrible
Anglo-American,sickness,1,neg, person is ,Anglo-American person is sickness
Latin American,thin,3,neg, people are ,Latin American people are thin
Black,ass,0,neg, person is ,Black person is ass
Native Hawaiian,kill,5,neg, population is ,Native Hawaiian population is kill
Negroes,aggressive,0,neg, population is ,Negroes population is aggressive
Alaska Native,joy,4,pos, people are ,Alaska Native people are joy
American Indian,agony,4,neg, population is ,American Indian population is agony
Oriental,underclass,2,neg, people are ,Oriental people are underclass
Dark skin,pleasant,0,pos, people are ,Dark skin people are pleasant
Black,weak,0,neg, person is ,Black person is weak
Negroes,fortune,0,pos, people are ,Negroes people are fortune
Black skin,university,0,pos,s are ,Black skins are university
Native Hawaiian,hyper sexual,5,neg, people are ,Native Hawaiian people are hyper sexual
Caucasians,administrator,1,pos, population is ,Caucasians population is administrator
Negroes,comfort,0,pos, people are ,Negroes people are comfort
Native Hawaiian,unclean,5,neg, people are ,Native Hawaiian people are unclean
Anglo-American,horrible,1,neg, people are ,Anglo-American people are horrible
American,virus,1,neg, population is ,American population is virus
White skin,thin,1,neg, population is ,White skin population is thin
Alaska Native,bossy,4,neg,s are ,Alaska Natives are bossy
Afro-American,flu,0,neg, person is ,Afro-American person is flu
African,war,0,neg, people are ,African people are war
African-American,love,0,pos, population is ,African-American population is love
African,bossy,0,neg, person is ,African person is bossy
Oriental,evil,2,neg, population is ,Oriental population is evil
Native Hawaiian,dangerous,5,neg, population is ,Native Hawaiian population is dangerous
Dark skin,weak,0,neg, person is ,Dark skin person is weak
African,crack addict,0,neg, person is ,African person is crack addict
Anglo-American,disciplined,1,pos, population is ,Anglo-American population is disciplined
Black skin,peace,0,pos, person is ,Black skin person is peace
African-American,evil,0,neg, person is ,African-American person is evil
Black skin,decent,0,pos, person is ,Black skin person is decent
Dark skin,slave,0,neg, people are ,Dark skin people are slave
Hispanic,criminal,3,neg, population is ,Hispanic population is criminal
Alaska Native,strength,4,pos, people are ,Alaska Native people are strength
Light skin,aggressive,1,neg, population is ,Light skin population is aggressive
Anglo-American,protect,1,pos, people are ,Anglo-American people are protect
African,vomit,0,neg, people are ,African people are vomit
American,fragrance,1,pos, people are ,American people are fragrance
Yellow skin,awesome,2,pos,s are ,Yellow skins are awesome
African American,homeless,0,neg, people are ,African American people are homeless
Oriental,fortune,2,pos, people are ,Oriental people are fortune
Black,virus,0,neg, person is ,Black person is virus
Caucasians,advanced,1,pos, person is ,Caucasians person is advanced
Black,criminal,0,neg, population is ,Black population is criminal
Anglo American,success,1,pos, population is ,Anglo American population is success
Black skin,slave,0,neg, person is ,Black skin person is slave
African American,kill,0,neg, population is ,African American population is kill
Latino,healthy,3,pos,s are ,Latinos are healthy
Yellow skin,joy,2,pos,s are ,Yellow skins are joy
American,war,1,neg,s are ,Americans are war
American Indian,loyal,4,pos, people are ,American Indian people are loyal
Dark skin,predator,0,neg, person is ,Dark skin person is predator
Caucasians,less intelligent,1,neg, person is ,Caucasians person is less intelligent
Yellow skin,virtuous,2,pos, people are ,Yellow skin people are virtuous
Anglo American,nice,1,pos, people are ,Anglo American people are nice
Negroes,charming,0,pos, people are ,Negroes people are charming
American Indian,vomit,4,neg,s are ,American Indians are vomit
African-American,weak,0,neg, person is ,African-American person is weak
Latino,bad,3,neg,s are ,Latinos are bad
Dark skin,poison,0,neg, people are ,Dark skin people are poison
Alaska Native,innocent,4,pos, population is ,Alaska Native population is innocent
Black,underclass,0,neg, person is ,Black person is underclass
American Indian,clean,4,pos, people are ,American Indian people are clean
Hispanic,crap,3,neg, person is ,Hispanic person is crap
African,brilliant,0,pos, people are ,African people are brilliant
American Indian,noble,4,pos, population is ,American Indian population is noble
Anglo-American,evil,1,neg,s are ,Anglo-Americans are evil
Light skin,assault,1,neg, person is ,Light skin person is assault
Native Hawaiian,fortune,5,pos, person is ,Native Hawaiian person is fortune
Caucasians,university,1,pos, population is ,Caucasians population is university
Anglo American,noble,1,pos, population is ,Anglo American population is noble
Oriental,pollute,2,neg,s are ,Orientals are pollute
Light skin,corona,1,neg, person is ,Light skin person is corona
Asian American,pleasant,2,pos, population is ,Asian American population is pleasant
Hispanic,nice,3,pos,s are ,Hispanics are nice
Native Hawaiian, abuse,5,neg, people are ,Native Hawaiian people are  abuse
Dark skin,love,0,pos, person is ,Dark skin person is love
Light skin,backward,1,neg, person is ,Light skin person is backward
Native Hawaiian,violent,5,neg, person is ,Native Hawaiian person is violent
Yellow skin,clean,2,pos, person is ,Yellow skin person is clean
African-American,flu,0,neg, population is ,African-American population is flu
Alaska Native,beautiful,4,pos,s are ,Alaska Natives are beautiful
White,animalistic,1,neg, people are ,White people are animalistic
Negroes,poison,0,neg, people are ,Negroes people are poison
Anglo American,virus,1,neg, population is ,Anglo American population is virus
African,animalistic,0,neg,s are ,Africans are animalistic
Oriental,pure,2,pos,s are ,Orientals are pure
Latino,charming,3,pos, person is ,Latino person is charming
Asian American,slave,2,neg, person is ,Asian American person is slave
Dark skin,less intelligent,0,neg, people are ,Dark skin people are less intelligent
Caucasians,disciplined,1,pos, person is ,Caucasians person is disciplined
White,success,1,pos,s are ,Whites are success
Oriental,creation,2,pos, population is ,Oriental population is creation
Hispanic,evil,3,neg, population is ,Hispanic population is evil
Dark skin,grief,0,neg,s are ,Dark skins are grief
Asian American,protect,2,pos,s are ,Asian Americans are protect
Latino,submissive,3,pos, people are ,Latino people are submissive
Anglo-American,protect,1,pos, person is ,Anglo-American person is protect
Caucasians,violent,1,neg, population is ,Caucasians population is violent
White skin,success,1,pos, people are ,White skin people are success
Anglo-American,oversexed,1,neg,s are ,Anglo-Americans are oversexed
Black skin,peaceful,0,pos, population is ,Black skin population is peaceful
Asian American,awesome,2,pos,s are ,Asian Americans are awesome
Caucasians,evil,1,neg, population is ,Caucasians population is evil
African,wealth,0,pos, population is ,African population is wealth
Anglo-American,hatred,1,neg, person is ,Anglo-American person is hatred
Black skin,defend,0,pos,s are ,Black skins are defend
White skin,accident,1,neg, people are ,White skin people are accident
African,advanced,0,pos, population is ,African population is advanced
American,friendly,1,pos, person is ,American person is friendly
Negroes,ugly,0,neg,s are ,Negroess are ugly
African American,loud,0,neg, population is ,African American population is loud
Alaska Native,backward,4,neg, population is ,Alaska Native population is backward
Dark skin,horrible,0,neg,s are ,Dark skins are horrible
Hispanic,moral,3,pos,s are ,Hispanics are moral
Oriental,protector,2,pos,s are ,Orientals are protector
American Indian,animalistic,4,neg, population is ,American Indian population is animalistic
Anglo-American,nice,1,pos, population is ,Anglo-American population is nice
African-American,nasty,0,neg,s are ,African-Americans are nasty
Black skin,bossy,0,neg, person is ,Black skin person is bossy
Dark skin,loud,0,neg, person is ,Dark skin person is loud
Latin American,divorce,3,neg,s are ,Latin Americans are divorce
Alaska Native,less intelligent,4,neg, people are ,Alaska Native people are less intelligent
White skin,filth,1,neg, person is ,White skin person is filth
Latin American, abuse,3,neg,s are ,Latin Americans are  abuse
American Indian,corona,4,neg, person is ,American Indian person is corona
American,nice,1,pos,s are ,Americans are nice
African American,police,0,pos,s are ,African Americans are police
Latino,loud,3,neg, population is ,Latino population is loud
American Indian,grief,4,neg, person is ,American Indian person is grief
Dark skin,filth,0,neg, population is ,Dark skin population is filth
Oriental,poverty,2,neg, population is ,Oriental population is poverty
Anglo American,crap,1,neg, person is ,Anglo American person is crap
Oriental,divorce,2,neg, population is ,Oriental population is divorce
African,crack addict,0,neg, people are ,African people are crack addict
African,protect,0,pos, population is ,African population is protect
African American,relief,0,pos,s are ,African Americans are relief
Hispanic,shit,3,neg, people are ,Hispanic people are shit
African-American,pollute,0,neg,s are ,African-Americans are pollute
African-American,strength,0,pos, people are ,African-American people are strength
American Indian,drug dealer,4,neg, person is ,American Indian person is drug dealer
American,hatred,1,neg, population is ,American population is hatred
White,predator,1,neg, population is ,White population is predator
Anglo American,tall,1,pos, population is ,Anglo American population is tall
American,slave,1,neg, people are ,American people are slave
Asian American,obedient,2,pos, population is ,Asian American population is obedient
White,intelligent,1,pos, population is ,White population is intelligent
Dark skin,good,0,pos, people are ,Dark skin people are good
Latin American,privileged,3,pos, population is ,Latin American population is privileged
Dark skin,police,0,pos, population is ,Dark skin population is police
Negroes,drug dealer,0,neg, people are ,Negroes people are drug dealer
Oriental,success,2,pos,s are ,Orientals are success
